Dimension,Verbatims
Canales y servicios,Las claves y las previstas que hay para acceder a la cuenta o atiendan a una personas son muchas a pesar de tener respuesta satisfactorias del tema
Canales y servicios,Porque no resuelven nada por telefono hay que ir a la sede siempre
Canales y servicios,Porque hay procedimiento que son engorrosos para acceder a una informacion
Canales y servicios,No es tan buena te conectas y no funciona te ponen la publicidad y no la podes sacar porque no tiene la cruz para cerrarla y no podes acceder. Inconvenientes que tiene la web
Productos,Porque no tiene muchos descuentos en comercios mas que nada en los negocios de ropa porque creo que tiene 10% nada mas y me gustarua que tuviera un 20 o 30% aunque sea un dua
Marca,Porque no me da confianza es una cuestion general no me da confianza ning˙n banco
Canales y servicios,Sirve para informar nada mas mas que nada por eso no hago consultas ni transacciones ni nada.  La uso solo para informacion. Me llamaron y me dijeron que mire la pagina nueva pero nomas que eso.
Tiempos de espera,La espera tenes que ir a las cajas y la atencion tarda mucho demoras
Productos,Muy poco el monto que te dan para comprar
Disp. automaticos,Porque tienen que reponer el dinero de los mismos mas seguido. Porque los fines de semana nunca tienen dinero disponible. Pero por otra parte tienen las medidas que tiene que tener por ej. Me refiero a las camaras.
Canales y servicios,No se que relacion tendra el banco Galicia con visa pero por ejemplo el otro dua llame para hacer una pregunta para retirar dinero y estuve toda una maÒana completa llamando a visa y todavua no lo pude resolver. A mu nunca me paso de no tener margen en la tarjeta.
Productos,Porque tengo American Express no es tan aceptada en todo el mundo
Gestion de consultas,Minimizaron mis cosas no se preocuparon por solucionar los problemas que presente
Canales y servicios,Porque te atiende una maquina y estas mucho tiempo marcando n˙meros hasta que te atienda una persona. Llame para dar de baja a una tarjeta de credito. Alrededor de 15 minutos. Para hablar con una operadora estuve 5 minutos y despues me tuvo 15 minutos esperando. Me resolvio 24 horas efectivamente.
Canales y servicios,Porque no fui buena tendida se4 sintieron atracado cuando hacia la consulta
Productos,Son intereses excesivos que tienen estamos arriba del 40 por ciento de interes cualquier banco.
Disp. automaticos,Porque hay pocos cajeros hay demora tardan en cargan los cajeros y pierden tiempo
Disp. automaticos,Deberuan mejorar la seguridad de los cajeros
